Taxonomy,EHI00106_EKDL220002058-1a-AK9419-AK5740_H2KLJDSX3_L3,EHI00176_EKDL220002058-1a-AK5443-AK5442_H2KLJDSX3_L3,EHI00569_EKDL230001764-1A_HNHFFDSX5_L2,EHI00177_EKDL220002058-1a-AK5441-AK5440_H2KLJDSX3_L3,EHI00472_EKDL230001764-1A_HNHFFDSX5_L2,EHI00074_EKDL220002058-1a-AK559-AK7013_H2KLJDSX3_L3,EHI00179_EKDL220002058-1a-AK9161-AK9162_H2KLJDSX3_L3,EHI00133_EKDL220002058-1a-AK554-AK763_H2KLJDSX3_L3,EHI00467_EKDL230001764-1A_HNHFFDSX5_L2,EHI00493_EKDL230001764-1A_HNHFFDSX5_L2,EHI00070_EKDL220002058-1a-AK3907-AK9321_H2KLJDSX3_L3,EHI00081_EKDL220002058-1a-AK9083-AK7147_H2KLJDSX3_L3,EHI00125_EKDL220002058-1a-5UDI307-AK6960_H2KLJDSX3_L3,EHI00097_EKDL220002058-1a-AK6334-AK7864_H2KLJDSX3_L3,EHI00122_EKDL220002058-1a-5UDI311-AK8587_H2KLJDSX3_L3,EHI00567_EKDL230001764-1A_HNHFFDSX5_L2,EHI00506_EKDL230001764-1A_HNHFFDSX5_L2,EHI00124_EKDL220002058-1a-5UDI308-AK8586_H2KLJDSX3_L3,EHI00115_EKDL220002058-1a-AK4445-AK9402_H2KLJDSX3_L3,EHI00069_EKDL220002058-1a-AK9320-AK7544_H2KLJDSX3_L3,EHI00103_EKDL220002058-1a-AK9415-AK9416_H2KLJDSX3_L3,EHI00464_EKDL230001764-1A_HNHFFDSX5_L2,EHI00499_EKDL230001764-1A_HNHFFDSX5_L2,EHI00131_EKDL220002058-1a-5UDI301-AK3908_H2KLJDSX3_L3,EHI00089_EKDL220002058-1a-AK9394-AK706_H2KLJDSX3_L3,EHI00541_EKDL230001764-1A_HNHFFDSX5_L2,EHI00072_EKDL220002058-1a-AK9318-AK9319_H2KLJDSX3_L3,EHI00181_EKDL220002058-1a-AK3916-AK9176_H2KLJDSX3_L3,EHI00458_EKDL230001764-1A_HNHFFDSX5_L2,EHI00080_EKDL220002058-1a-AK9082-AK5959_H2KLJDSX3_L3,EHI00104_EKDL220002058-1a-AK9406-AK3911_H2KLJDSX3_L3,EHI00479_EKDL230001764-1A_HNHFFDSX5_L2,EHI00117_EKDL220002058-1a-AK9322-AK9323_H2KLJDSX3_L3,EHI00118_EKDL220002058-1a-5UDI315-AK8183_H2KLJDSX3_L3,EHI00130_EKDL220002058-1a-5UDI302-AK7014_H2KLJDSX3_L3,EHI00547_EKDL230001764-1A_HNHFFDSX5_L2,EHI00108_EKDL220002058-1a-AK9407-AK6773_H2KLJDSX3_L3,EHI00477_EKDL230001764-1A_HNHFFDSX5_L2,EHI00128_EKDL220002058-1a-5UDI304-AK2871_H2KLJDSX3_L3,EHI00178_EKDL220002058-1a-AK2591-AK5435_H2KLJDSX3_L3,EHI00496_EKDL230001764-1A_HNHFFDSX5_L2,EHI00473_EKDL230001764-1A_HNHFFDSX5_L2,EHI00121_EKDL220002058-1a-5UDI312-AK8589_H2KLJDSX3_L3,EHI00490_EKDL230001764-1A_HNHFFDSX5_L2,EHI00538_EKDL230001764-1A_HNHFFDSX5_L2,EHI00077_EKDL220002058-1a-AK8621-AK9392_H2KLJDSX3_L3,EHI00114_EKDL220002058-1a-AK1386-AK9401_H2KLJDSX3_L3,EHI00524_EKDL230001764-1A_HNHFFDSX5_L2,EHI00092_EKDL220002058-1a-AK7012-AK7737_H2KLJDSX3_L3,EHI00507_EKDL230001764-1A_HNHFFDSX5_L2,EHI00100_EKDL220002058-1a-AK6390-AK9413_H2KLJDSX3_L3,EHI00441_EKDL230001764-1A_HNHFFDSX5_L2,EHI00085_EKDL220002058-1a-AK5577-AK1620_H2KLJDSX3_L3,EHI00484_EKDL230001764-1A_HNHFFDSX5_L2,EHI00119_EKDL220002058-1a-5UDI314-A71_H2KLJDSX3_L3,EHI00129_EKDL220002058-1a-5UDI303-AK8582_H2KLJDSX3_L3,EHI00088_EKDL220002058-1a-AK8623-AK9393_H2KLJDSX3_L3,EHI00101_EKDL220002058-1a-AK7865-AK7866_H2KLJDSX3_L3,EHI00483_EKDL230001764-1A_HNHFFDSX5_L2,EHI00137_EKDL220002058-1a-AK8575-AK4871_H2KLJDSX3_L3,EHI00514_EKDL230001764-1A_HNHFFDSX5_L2,EHI00098_EKDL220002058-1a-AK9410-AK9411_H2KLJDSX3_L3,EHI00091_EKDL220002058-1a-AK7002-AK9397_H2KLJDSX3_L3,EHI00093_EKDL220002058-1a-AK7755-AK9391_H2KLJDSX3_L3,EHI00110_EKDL220002058-1a-D707-AK5827_H2KLJDSX3_L3,EHI00076_EKDL220002058-1a-AK8469-AK8470_H2KLJDSX3_L3,EHI00480_EKDL230001764-1A_HNHFFDSX5_L2,EHI00465_EKDL230001764-1A_HNHFFDSX5_L2,EHI00138_EKDL220002058-1a-5UDI294-AK8574_H2KLJDSX3_L3,EHI00504_EKDL230001764-1A_HNHFFDSX5_L2,EHI00180_EKDL220002058-1a-AK9172-AK8868_H2KLJDSX3_L3,EHI00566_EKDL230001764-1A_HNHFFDSX5_L2,EHI00529_EKDL230001764-1A_HNHFFDSX5_L2,EHI00438_EKDL230001764-1A_HNHFFDSX5_L2,EHI00481_EKDL230001764-1A_HNHFFDSX5_L2,EHI00113_EKDL220002058-1a-DY0012-AK9400_H2KLJDSX3_L3,EHI00451_EKDL230001764-1A_HNHFFDSX5_L2,EHI00527_EKDL230001764-1A_HNHFFDSX5_L2,EHI00433_EKDL230001764-1A_HNHFFDSX5_L2,EHI00428_EKDL230001764-1A_HNHFFDSX5_L2,EHI00518_EKDL230001764-1A_HNHFFDSX5_L2,EHI00120_EKDL220002058-1a-5UDI313-AK9867_H2KLJDSX3_L3,EHI00116_EKDL220002058-1a-AK3249-AK2867_H2KLJDSX3_L3,EHI00525_EKDL230001764-1A_HNHFFDSX5_L2,EHI00134_EKDL220002058-1a-5UDI298-AK6249_H2KLJDSX3_L3,EHI00456_EKDL230001764-1A_HNHFFDSX5_L2,EHI00105_EKDL220002058-1a-AK9417-AK9418_H2KLJDSX3_L3,EHI00462_EKDL230001764-1A_HNHFFDSX5_L2,EHI00111_EKDL220002058-1a-AK9873-AK9874_H2KLJDSX3_L3,EHI00470_EKDL230001764-1A_HNHFFDSX5_L2,EHI00079_EKDL220002058-1a-AK6760-AK9390_H2KLJDSX3_L3,EHI00426_EKDL230001764-1A_HNHFFDSX5_L2,EHI00537_EKDL230001764-1A_HNHFFDSX5_L2,EHI00086_EKDL220002058-1a-AK6777-AK9610_H2KLJDSX3_L3,EHI00512_EKDL230001764-1A_HNHFFDSX5_L2,EHI00488_EKDL230001764-1A_HNHFFDSX5_L2,EHI00139_EKDL220002058-1a-5UDI293-AK675_H2KLJDSX3_L3,EHI00112_EKDL220002058-1a-AK9846-AK9144_H2KLJDSX3_L3,EHI00568_EKDL230001764-1A_HNHFFDSX5_L2,EHI00073_EKDL220002058-1a-AK8471-AK8472_H2KLJDSX3_L3,EHI00536_EKDL230001764-1A_HNHFFDSX5_L2,EHI00075_EKDL220002058-1a-AK6255-AK8473_H2KLJDSX3_L3,EHI00095_EKDL220002058-1a-AK9403-AK6761_H2KLJDSX3_L3,EHI00422_EKDL230001764-1A_HNHFFDSX5_L2,EHI00107_EKDL220002058-1a-AK4991-AK7298_H2KLJDSX3_L3
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fagales;f__Fagaceae;g__Quercus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Icacinales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Icacinales;f__Icacinaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Icacinales;f__Icacinaceae;g__Emmotum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Icacinales;f__Icacinaceae;g__Emmotum;s__Emmotum_nitens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Lamiaceae,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Lamiaceae;g__Galeopsis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Lamiaceae;g__Galeopsis;s__Galeopsis_pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Lamiaceae;g__Pogostemon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Lamiaceae;g__Pogostemon;s__Pogostemon_cablin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Lamiaceae;g__Salvia,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Lamiaceae;g__Salvia;s__Salvia_syriaca,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Lamiaceae;g__Stachys,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Lamiaceae;g__Stachys;s__Stachys_megalodonta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Lamiaceae;g__Stachys;s__Stachys_setifera_subsp._setifera,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Plantaginaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Plantaginaceae;g__Plantago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Plantaginaceae;g__Plantago;s__Plantago_lanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Plantaginaceae;g__Veronica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Lamiales;f__Plantaginaceae;g__Veronica;s__Veronica_chamaedrys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Malpighiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Malpighiales;f__Salicaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Malpighiales;f__Salicaceae;g__Salix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Malpighiales;f__Salicaceae;g__Salix;s__Salix_argyracea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Malpighiales;f__Salicaceae;g__Salix;s__Salix_rosthornii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Malvales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Malvales;f__Cistaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Malvales;f__Cistaceae;g__Helianthemum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Malvales;f__Cistaceae;g__Helianthemum;s__Helianthemum_aegyptiacum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Malvales;f__Cistaceae;g__Helianthemum;s__Helianthemum_ruficomum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Malvales;f__Malvaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Malvales;f__Malvaceae;g__Heritiera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Malvales;f__Malvaceae;g__Heritiera;s__Heritiera_littoralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ranunculales,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ranunculales;f__Ranunculaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ranunculales;f__Ranunculaceae;g__Ranunculus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ranunculales;f__Ranunculaceae;g__Ranunculus;s__Ranunculus_flammula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
